"pid","training","shj","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","switch_count","start","finish"
4253,"classify",4,8,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4286,"classify",4,1,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4286,"classify",4,2,1,0,1,0,0,0,"Lape","Tannet",1,2,1,6
4286,"classify",4,3,1,0,0,1,0,1,"Tannet","Lape",1,1,6,5
4286,"classify",4,4,0,0,1,1,1,1,"Tannet","Lape",1,2,8,2
4286,"classify",4,5,1,1,0,0,0,1,"Lape","Tannet",1,3,2,7
4286,"classify",4,6,0,0,1,1,1,0,"Tannet","Lape",1,3,7,2
4286,"classify",4,7,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4286,"classify",4,8,1,1,0,1,0,0,"Lape","Tannet",1,1,5,7
4339,"classify",4,1,1,1,1,1,0,0,"Lape","Tannet",1,2,5,8
4339,"classify",4,2,1,0,0,1,1,0,"Tannet","Lape",1,1,7,5
4339,"classify",4,3,0,0,1,0,0,0,"Lape","Lape",0,1,1,2
4339,"classify",4,4,1,1,1,0,1,0,"Lape","Tannet",1,2,3,8
4339,"classify",4,5,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4339,"classify",4,6,0,1,0,0,1,1,"Tannet","Lape",1,1,4,3
4339,"classify",4,7,1,0,0,1,0,1,"Tannet","Lape",1,1,6,5
4339,"classify",4,8,0,1,0,1,1,1,"Tannet","Lape",1,2,8,3
4351,"classify",4,1,0,0,0,0,1,1,"Tannet","Lape",1,2,4,1
4351,"classify",4,2,1,0,0,1,1,0,"Tannet","Lape",1,1,7,5
4351,"classify",4,3,1,1,1,0,0,0,"Lape","Tannet",1,3,1,8
4351,"classify",4,4,1,1,1,0,0,1,"Lape","Tannet",1,2,2,8
4351,"classify",4,5,1,1,1,1,0,0,"Lape","Tannet",1,2,5,8
4351,"classify",4,6,1,0,0,1,0,1,"Tannet","Lape",1,1,6,5
4351,"classify",4,7,1,1,1,0,1,0,"Lape","Tannet",1,2,3,8
4351,"classify",4,8,1,0,0,1,1,1,"Tannet","Lape",1,2,8,5
4442,"classify",4,1,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4442,"classify",4,2,1,1,1,1,0,0,"Lape","Tannet",1,2,5,8
4442,"classify",4,3,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4442,"classify",4,4,0,0,0,1,0,1,"Tannet","Lape",1,2,6,1
4442,"classify",4,5,0,1,0,1,1,1,"Tannet","Lape",1,2,8,3
4442,"classify",4,6,0,1,0,0,1,1,"Tannet","Lape",1,1,4,3
4442,"classify",4,7,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4442,"classify",4,8,0,1,0,1,1,0,"Tannet","Lape",1,1,7,3
4455,"classify",4,1,1,0,1,0,0,0,"Lape","Tannet",1,2,1,6
4455,"classify",4,2,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4455,"classify",4,3,0,0,0,0,1,1,"Tannet","Lape",1,2,4,1
4455,"classify",4,4,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4455,"classify",4,5,1,0,0,1,1,1,"Tannet","Lape",1,2,8,5
4455,"classify",4,6,1,0,0,1,0,1,"Tannet","Lape",1,1,6,5
4455,"classify",4,7,1,0,0,1,1,0,"Tannet","Lape",1,1,7,5
4455,"classify",4,8,1,1,1,1,0,0,"Lape","Tannet",1,2,5,8
4498,"classify",4,1,0,0,0,0,0,1,"Lape","Lape",0,1,2,1
4498,"classify",4,2,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4498,"classify",4,3,0,0,0,1,0,1,"Tannet","Lape",1,2,6,1
4498,"classify",4,4,0,0,0,0,1,1,"Tannet","Lape",1,2,4,1
4498,"classify",4,5,0,0,0,1,1,1,"Tannet","Lape",1,3,8,1
4498,"classify",4,6,1,1,1,1,0,0,"Lape","Tannet",1,2,5,8
4498,"classify",4,7,0,0,0,1,1,0,"Tannet","Lape",1,2,7,1
4498,"classify",4,8,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4226,"switch",2,1,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4226,"switch",2,2,0,1,1,1,1,0,"Lape","Tannet",1,2,7,4
4226,"switch",2,3,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4226,"switch",2,4,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4226,"switch",2,5,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4226,"switch",2,6,1,1,0,0,1,1,"Tannet","Lape",1,2,4,7
4226,"switch",2,7,1,1,0,1,0,1,"Tannet","Lape",1,2,6,7
4226,"switch",2,8,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4236,"switch",2,1,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4236,"switch",2,2,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4236,"switch",2,3,1,0,1,0,0,1,"Lape","Tannet",1,1,2,6
4236,"switch",2,4,0,0,0,0,1,0,"Tannet","Lape",1,1,3,1
4236,"switch",2,5,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4236,"switch",2,6,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4236,"switch",2,7,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4236,"switch",2,8,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4256,"switch",2,1,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4256,"switch",2,2,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4256,"switch",2,3,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4256,"switch",2,4,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4256,"switch",2,5,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4256,"switch",2,6,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4256,"switch",2,7,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4256,"switch",2,8,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4261,"switch",2,1,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4261,"switch",2,2,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4261,"switch",2,3,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4261,"switch",2,4,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4261,"switch",2,5,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4261,"switch",2,6,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4261,"switch",2,7,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4261,"switch",2,8,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4280,"switch",2,1,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4280,"switch",2,2,1,0,0,0,0,1,"Lape","Tannet",1,2,2,5
4280,"switch",2,3,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4280,"switch",2,4,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4280,"switch",2,5,1,0,0,1,1,1,"Lape","Tannet",1,2,8,5
4280,"switch",2,6,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4280,"switch",2,7,1,1,1,0,1,0,"Tannet","Lape",1,2,3,8
4280,"switch",2,8,1,0,0,1,1,0,"Lape","Tannet",1,1,7,5
4325,"switch",2,1,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4325,"switch",2,2,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4325,"switch",2,3,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4325,"switch",2,4,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4325,"switch",2,5,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4325,"switch",2,6,1,0,1,0,0,1,"Lape","Tannet",1,1,2,6
4325,"switch",2,7,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4325,"switch",2,8,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4335,"switch",2,1,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4335,"switch",2,2,0,0,1,1,0,0,"Tannet","Lape",1,2,5,2
4335,"switch",2,3,0,0,1,0,1,0,"Tannet","Lape",1,2,3,2
4335,"switch",2,4,0,1,0,0,0,1,"Lape","Tannet",1,2,2,3
4335,"switch",2,5,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4335,"switch",2,6,0,1,0,1,1,1,"Lape","Tannet",1,2,8,3
4335,"switch",2,7,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4335,"switch",2,8,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4355,"switch",2,1,1,0,1,1,1,0,"Lape","Tannet",1,2,7,6
4355,"switch",2,2,1,0,1,0,0,1,"Lape","Tannet",1,1,2,6
4355,"switch",2,3,0,0,0,0,1,0,"Tannet","Lape",1,1,3,1
4355,"switch",2,4,0,1,0,0,1,1,"Tannet","Tannet",0,1,4,3
4355,"switch",2,5,0,0,0,1,0,1,"Tannet","Lape",1,2,6,1
4355,"switch",2,6,1,0,1,0,0,0,"Lape","Tannet",1,2,1,6
4355,"switch",2,7,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4355,"switch",2,8,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4361,"switch",2,1,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4361,"switch",2,2,0,0,1,0,1,0,"Tannet","Lape",1,2,3,2
4361,"switch",2,3,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4361,"switch",2,4,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4361,"switch",2,5,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4361,"switch",2,6,0,0,1,1,0,0,"Tannet","Lape",1,2,5,2
4361,"switch",2,7,0,1,1,1,1,0,"Lape","Tannet",1,2,7,4
4361,"switch",2,8,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4390,"switch",2,1,1,1,0,1,0,1,"Tannet","Lape",1,2,6,7
4390,"switch",2,2,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4390,"switch",2,3,1,1,0,0,1,1,"Tannet","Lape",1,2,4,7
4390,"switch",2,4,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4390,"switch",2,5,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4390,"switch",2,6,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4390,"switch",2,7,0,1,1,1,1,0,"Lape","Tannet",1,2,7,4
4390,"switch",2,8,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4409,"switch",2,1,0,1,0,1,1,1,"Lape","Tannet",1,2,8,3
4409,"switch",2,2,1,1,1,1,0,0,"Tannet","Lape",1,2,5,8
4409,"switch",2,3,0,1,0,0,0,1,"Lape","Tannet",1,2,2,3
4409,"switch",2,4,1,1,1,0,1,0,"Tannet","Lape",1,2,3,8
4409,"switch",2,5,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4409,"switch",2,6,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4409,"switch",2,7,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4409,"switch",2,8,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4465,"switch",2,1,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4465,"switch",2,2,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4465,"switch",2,3,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4465,"switch",2,4,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4465,"switch",2,5,1,0,1,0,0,1,"Lape","Tannet",1,1,2,6
4465,"switch",2,6,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4465,"switch",2,7,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
