"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4236,2,10,4,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,10,5,1,0,1,0,0,"1","Lape","Tannet",1,1,1,2,6
4236,2,10,6,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,10,7,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,10,8,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4236,2,11,1,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4236,2,11,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,11,3,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4236,2,11,4,1,0,1,0,0,"1","Lape","Tannet",1,1,1,2,6
4236,2,11,5,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,11,6,0,1,0,1,0,"0","Tannet","Tannet",0,1,2,5,3
4236,2,11,6,1,1,0,1,0,"0","Tannet","Lape",1,2,1,5,7
4236,2,11,7,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4236,2,11,8,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,12,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,12,2,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4236,2,12,3,1,0,1,0,0,"1","Lape","Tannet",1,1,1,2,6
4236,2,12,4,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,12,5,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,12,6,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,12,7,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4236,2,12,8,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,1,1,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4256,2,1,2,1,1,1,0,1,"0","Tannet","Lape",1,1,2,3,8
4256,2,1,3,1,0,1,1,1,"0","Lape","Tannet",1,1,2,7,6
4256,2,1,4,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4256,2,1,5,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,1,6,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4256,2,1,7,0,1,0,0,0,"1","Lape","Tannet",1,1,2,2,3
4256,2,1,8,1,0,0,1,0,"1","Tannet","Tannet",0,1,1,6,5
4256,2,1,8,1,1,0,1,0,"1","Tannet","Lape",1,2,2,6,7
4256,2,2,1,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,2,2,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4256,2,2,3,1,1,1,0,0,"0","Lape","Lape",0,1,3,1,8
4256,2,2,3,1,0,1,0,0,"0","Lape","Tannet",1,2,2,1,6
4256,2,2,4,1,1,1,0,1,"0","Tannet","Lape",1,1,2,3,8
4256,2,2,5,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4256,2,2,6,0,0,0,1,1,"1","Lape","Lape",0,1,3,8,1
4256,2,2,6,0,1,0,1,1,"1","Lape","Tannet",1,2,2,8,3
4256,2,2,7,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4256,2,2,8,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4256,2,3,1,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4256,2,3,2,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4256,2,3,3,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4256,2,3,4,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4256,2,3,5,1,0,0,1,0,"1","Tannet","Tannet",0,1,1,6,5
4256,2,3,5,1,1,0,1,0,"1","Tannet","Lape",1,2,2,6,7
4256,2,3,6,1,1,1,0,1,"0","Tannet","Lape",1,1,2,3,8
4256,2,3,7,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,3,8,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4256,2,4,1,0,1,0,0,0,"1","Lape","Tannet",1,1,2,2,3
4256,2,4,2,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4256,2,4,3,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4256,2,4,4,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4256,2,4,5,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4256,2,4,6,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,4,7,1,1,1,0,1,"0","Tannet","Lape",1,1,2,3,8
4256,2,4,8,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4256,2,5,1,0,1,0,0,0,"1","Lape","Tannet",1,1,2,2,3
4256,2,5,2,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,5,3,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4256,2,5,4,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4256,2,5,5,1,1,1,0,1,"0","Tannet","Lape",1,1,2,3,8
4256,2,5,6,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4256,2,5,7,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,5,8,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,6,1,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4256,2,6,2,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,6,3,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,6,4,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4256,2,6,5,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,6,6,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,6,7,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,6,8,0,0,1,0,0,"0","Lape","Lape",0,1,1,1,2
4256,2,6,8,0,1,0,0,0,"0","Lape","Tannet",1,2,1,1,3
4256,2,7,1,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,7,2,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
